Linux 6.8.0-111-generic (intel-nuc) 	05/18/2026 	_x86_64_	(8 CPU)

10:43:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:45:28 PM     all     20.51      0.00     12.66      0.38      0.00     66.46
10:45:29 PM     all     23.20      0.00     12.63      0.00      0.00     64.18
10:45:30 PM     all     21.61      0.00     13.15      0.13      0.00     65.10
10:45:31 PM     all     20.57      0.00     12.63      0.26      0.00     66.54
10:45:32 PM     all     20.70      0.00     11.77      0.26      0.00     67.27
10:45:33 PM     all     20.73      0.00     12.34      0.13      0.00     66.80
10:45:34 PM     all     21.04      0.00     12.60      0.13      0.00     66.23
10:45:35 PM     all     22.56      0.00     13.69      0.38      0.00     63.37
10:45:36 PM     all     20.49      0.00     13.62      0.13      0.00     65.76
10:45:37 PM     all     20.98      0.00     13.00      0.26      0.00     65.77
10:45:38 PM     all     20.13      0.00     12.55      0.26      0.00     67.06
10:45:39 PM     all     18.35      0.00     12.37      0.13      0.00     69.15
10:45:40 PM     all     21.45      0.00     13.16      0.13      0.00     65.26
10:45:41 PM     all     19.53      0.00     12.63      0.26      0.00     67.58
10:45:42 PM     all     21.24      0.00     12.27      0.53      0.00     65.96
10:45:43 PM     all     20.77      0.00     12.65      0.00      0.00     66.58
10:45:44 PM     all     20.96      0.00     12.24      0.26      0.00     66.54
10:45:45 PM     all     18.16      0.00     13.03      0.39      0.00     68.42
10:45:46 PM     all     20.88      0.00     11.93      0.00      0.00     67.19
10:45:47 PM     all     18.34      0.00     11.35      0.13      0.00     70.18
10:45:48 PM     all     19.45      0.00     11.43      0.53      0.00     68.59
10:45:49 PM     all     19.92      0.00     10.79      0.13      0.00     69.16
10:45:50 PM     all     18.07      0.00     11.51      0.27      0.00     70.15
10:45:51 PM     all     17.91      0.00     11.36      0.13      0.00     70.59
10:45:52 PM     all     20.66      0.00     12.50      0.26      0.00     66.58
10:45:53 PM     all     22.21      0.00     12.44      0.25      0.00     65.10
10:45:54 PM     all     20.60      0.00     12.26      0.13      0.00     67.01
10:45:55 PM     all     21.60      0.00     12.43      0.13      0.00     65.84
10:45:56 PM     all     19.22      0.00     13.07      0.39      0.00     67.32
10:45:57 PM     all     20.81      0.00     12.74      0.13      0.00     66.32
10:45:58 PM     all     19.74      0.00     13.64      0.13      0.00     66.49
10:45:59 PM     all     18.39      0.00     14.42      0.26      0.00     66.93
10:46:00 PM     all     18.84      0.00     11.73      0.40      0.00     69.04
10:46:01 PM     all     19.71      0.00     12.61      0.13      0.00     67.54
10:46:02 PM     all     21.22      0.00     13.80      0.26      0.00     64.71
10:46:03 PM     all     21.47      0.00     13.09      0.00      0.00     65.45
10:46:04 PM     all     19.87      0.00     12.16      0.26      0.00     67.71
10:46:05 PM     all     18.33      0.00     11.82      0.27      0.00     69.59
10:46:06 PM     all     18.52      0.00     12.44      0.26      0.00     68.78
10:46:07 PM     all     22.86      0.00     11.49      0.00      0.00     65.64
10:46:08 PM     all     18.73      0.00     11.83      0.39      0.00     69.05
10:46:09 PM     all     18.64      0.00     11.85      0.40      0.00     69.11
10:46:10 PM     all     19.63      0.00     12.43      0.13      0.00     67.80
10:46:11 PM     all     20.13      0.00     12.81      0.00      0.00     67.06
10:46:12 PM     all     20.88      0.00     12.24      0.26      0.00     66.62
10:46:13 PM     all     18.98      0.00     12.43      0.52      0.00     68.06
10:46:14 PM     all     22.15      0.00     14.12      0.00      0.00     63.73
10:46:15 PM     all     23.74      0.00     12.69      0.38      0.00     63.19
10:46:16 PM     all     20.91      0.00     14.03      0.00      0.00     65.06
10:46:17 PM     all     18.46      0.00     12.88      0.27      0.00     68.39
10:46:18 PM     all     19.74      0.00     12.50      0.39      0.00     67.37
10:46:19 PM     all     19.71      0.00     11.67      0.26      0.00     68.35
10:46:20 PM     all     21.63      0.00     11.66      0.00      0.00     66.71
10:46:21 PM     all     19.34      0.00     12.98      0.26      0.00     67.42
10:46:22 PM     all     20.61      0.00     13.21      0.13      0.00     66.05
10:46:23 PM     all     17.77      0.00     11.01      0.27      0.00     70.95
10:46:24 PM     all     23.41      0.00     15.08      0.39      0.00     61.12
10:46:25 PM     all     20.85      0.00     12.56      0.13      0.00     66.45
10:46:26 PM     all     20.39      0.00     13.51      0.00      0.00     66.10
10:46:27 PM     all     21.60      0.00     12.20      0.25      0.00     65.95
10:46:28 PM     all     20.50      0.00     11.96      0.39      0.00     67.15
10:46:29 PM     all     19.50      0.00     12.38      0.26      0.00     67.85
10:46:30 PM     all     20.63      0.00     11.96      0.00      0.00     67.41
10:46:31 PM     all     22.45      0.00     12.24      0.13      0.00     65.18
10:46:32 PM     all     17.78      0.00     11.63      0.53      0.00     70.05
10:46:33 PM     all     21.42      0.00     12.55      0.25      0.00     65.78
10:46:34 PM     all     17.84      0.00     12.52      0.13      0.00     69.51
10:46:35 PM     all     19.76      0.00     12.04      0.13      0.00     68.06
10:46:36 PM     all     19.28      0.00     11.77      0.13      0.00     68.82
10:46:37 PM     all     20.97      0.00     12.19      0.13      0.00     66.71
10:46:38 PM     all     18.92      0.00     12.22      0.26      0.00     68.59
