Linux 6.8.0-111-generic (intel-nuc) 	05/18/2026 	_x86_64_	(8 CPU)

10:59:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:59:38 PM     all     34.39      0.00     21.30      0.40      0.00     43.92
10:59:39 PM     all     32.09      0.00     19.59      0.00      0.00     48.32
10:59:40 PM     all     30.13      0.00     19.47      0.13      0.00     50.26
10:59:41 PM     all     33.33      0.00     19.95      0.00      0.00     46.72
10:59:42 PM     all     30.84      0.00     19.74      0.13      0.00     49.29
10:59:43 PM     all     33.03      0.00     18.45      0.00      0.00     48.52
10:59:44 PM     all     32.73      0.00     19.79      0.26      0.00     47.22
10:59:45 PM     all     32.81      0.00     19.16      0.13      0.00     47.90
10:59:46 PM     all     34.02      0.00     21.52      0.13      0.00     44.33
10:59:47 PM     all     31.91      0.00     20.35      0.13      0.00     47.61
10:59:48 PM     all     30.29      0.00     19.18      0.13      0.00     50.40
10:59:49 PM     all     32.80      0.00     19.39      0.13      0.00     47.68
10:59:50 PM     all     31.01      0.00     19.32      0.13      0.00     49.54
10:59:51 PM     all     32.14      0.00     20.05      0.13      0.00     47.68
10:59:52 PM     all     31.95      0.00     21.30      0.00      0.00     46.75
10:59:53 PM     all     32.48      0.00     19.00      0.13      0.00     48.40
10:59:54 PM     all     32.19      0.00     19.52      0.13      0.00     48.16
10:59:55 PM     all     31.78      0.00     18.92      0.13      0.00     49.18
10:59:56 PM     all     32.30      0.00     19.71      0.00      0.00     47.99
10:59:57 PM     all     32.04      0.00     19.64      0.26      0.00     48.06
10:59:58 PM     all     32.03      0.00     19.66      0.00      0.00     48.31
10:59:59 PM     all     31.00      0.00     17.92      0.00      0.00     51.08
11:00:00 PM     all     30.57      0.00     20.43      0.00      0.00     49.00
11:00:01 PM     all     31.47      0.00     20.00      0.13      0.00     48.40
11:00:02 PM     all     34.68      0.00     20.08      0.00      0.00     45.24
11:00:03 PM     all     32.27      0.00     19.01      0.00      0.00     48.72
11:00:04 PM     all     30.52      0.00     17.65      0.25      0.00     51.58
11:00:05 PM     all     29.95      0.00     19.00      0.00      0.00     51.06
11:00:06 PM     all     29.24      0.00     20.37      0.00      0.00     50.39
11:00:07 PM     all     30.09      0.00     19.16      0.13      0.00     50.61
11:00:08 PM     all     32.90      0.00     19.71      0.39      0.00     47.00
11:00:09 PM     all     31.23      0.00     19.63      0.00      0.00     49.14
11:00:10 PM     all     33.38      0.00     20.15      0.13      0.00     46.34
11:00:11 PM     all     32.51      0.00     19.43      0.00      0.00     48.06
11:00:12 PM     all     30.69      0.00     20.77      0.00      0.00     48.54
11:00:13 PM     all     32.94      0.00     19.71      0.13      0.00     47.21
11:00:14 PM     all     31.26      0.00     19.33      0.00      0.00     49.42
11:00:15 PM     all     33.86      0.00     20.87      0.13      0.00     45.14
11:00:16 PM     all     33.38      0.00     20.34      0.26      0.00     46.02
11:00:17 PM     all     33.51      0.00     21.25      0.00      0.00     45.24
11:00:18 PM     all     30.86      0.00     19.59      0.00      0.00     49.55
11:00:19 PM     all     34.84      0.00     20.13      0.00      0.00     45.03
11:00:20 PM     all     31.65      0.00     21.06      0.13      0.00     47.16
11:00:21 PM     all     34.40      0.00     20.80      0.00      0.00     44.80
11:00:22 PM     all     32.03      0.00     20.00      0.13      0.00     47.84
11:00:23 PM     all     32.69      0.00     20.41      0.26      0.00     46.64
11:00:24 PM     all     31.18      0.00     19.92      0.00      0.00     48.90
11:00:25 PM     all     33.33      0.00     19.56      0.00      0.00     47.10
11:00:26 PM     all     33.12      0.00     20.60      0.00      0.00     46.28
11:00:27 PM     all     31.15      0.00     20.19      0.00      0.00     48.66
11:00:28 PM     all     35.10      0.00     20.39      0.26      0.00     44.26
11:00:29 PM     all     30.36      0.00     21.06      0.13      0.00     48.45
11:00:30 PM     all     31.97      0.00     20.66      0.13      0.00     47.24
11:00:31 PM     all     31.96      0.00     19.20      0.13      0.00     48.71
11:00:32 PM     all     34.48      0.00     21.58      0.13      0.00     43.81
11:00:33 PM     all     33.67      0.00     18.86      0.00      0.00     47.47
11:00:34 PM     all     31.80      0.00     20.31      0.13      0.00     47.77
11:00:35 PM     all     31.17      0.00     19.35      0.00      0.00     49.48
11:00:36 PM     all     32.42      0.00     19.74      0.13      0.00     47.71
11:00:37 PM     all     32.38      0.00     21.20      0.00      0.00     46.42
11:00:38 PM     all     32.86      0.00     19.59      0.00      0.00     47.55
11:00:39 PM     all     29.59      0.00     18.49      0.00      0.00     51.92
11:00:40 PM     all     34.16      0.00     21.17      0.26      0.00     44.42
11:00:41 PM     all     32.69      0.00     20.16      0.00      0.00     47.16
11:00:42 PM     all     30.60      0.00     19.59      0.13      0.00     49.68
11:00:43 PM     all     32.30      0.00     19.31      0.00      0.00     48.39
11:00:44 PM     all     31.58      0.00     19.08      0.00      0.00     49.34
11:00:45 PM     all     32.56      0.00     19.20      0.13      0.00     48.12
11:00:46 PM     all     28.46      0.00     18.54      0.00      0.00     53.00
11:00:47 PM     all     31.41      0.00     18.72      0.00      0.00     49.87
11:00:48 PM     all     32.81      0.00     21.26      0.13      0.00     45.80
11:00:49 PM     all     32.35      0.00     20.75      0.13      0.00     46.77
11:00:50 PM     all     32.48      0.00     19.75      0.00      0.00     47.77
11:00:51 PM     all     32.39      0.00     20.23      0.26      0.00     47.12
11:00:52 PM     all     30.41      0.00     20.05      0.00      0.00     49.54
11:00:53 PM     all     34.43      0.00     19.37      0.00      0.00     46.20
11:00:54 PM     all     30.42      0.00     17.49      0.13      0.00     51.96
11:00:55 PM     all     32.86      0.00     20.10      0.39      0.00     46.65
11:00:56 PM     all     31.35      0.00     19.87      0.00      0.00     48.77
11:00:57 PM     all     32.11      0.00     18.28      0.00      0.00     49.61
11:00:58 PM     all     30.05      0.00     18.77      0.13      0.00     51.05
11:00:59 PM     all     32.63      0.00     19.66      0.00      0.00     47.71
11:01:00 PM     all     35.10      0.00     20.08      0.00      0.00     44.82
11:01:01 PM     all     33.76      0.00     20.64      0.00      0.00     45.61
11:01:02 PM     all     31.33      0.00     19.84      0.13      0.00     48.69
11:01:03 PM     all     30.58      0.00     17.98      0.00      0.00     51.44
11:01:04 PM     all     33.68      0.00     20.05      0.13      0.00     46.13
11:01:05 PM     all     33.85      0.00     19.90      0.00      0.00     46.25
11:01:06 PM     all     32.02      0.00     19.16      0.13      0.00     48.69
11:01:07 PM     all     29.72      0.00     19.68      0.13      0.00     50.46
11:01:08 PM     all     31.98      0.00     18.35      0.13      0.00     49.54
11:01:09 PM     all     32.66      0.00     17.79      0.13      0.00     49.43
11:01:10 PM     all     30.96      0.00     19.43      0.13      0.00     49.48
11:01:11 PM     all     27.61      0.00     18.63      0.00      0.00     53.75
11:01:12 PM     all     32.14      0.00     19.05      0.13      0.00     48.68
11:01:13 PM     all     30.61      0.00     19.07      0.13      0.00     50.19
11:01:14 PM     all     32.11      0.00     20.66      0.00      0.00     47.24
11:01:15 PM     all     32.26      0.00     19.23      0.13      0.00     48.39
11:01:16 PM     all     31.86      0.00     18.99      0.00      0.00     49.15
11:01:17 PM     all     31.93      0.00     19.45      0.00      0.00     48.62
11:01:18 PM     all     32.26      0.00     19.48      0.13      0.00     48.13
11:01:19 PM     all     33.03      0.00     19.41      0.00      0.00     47.56
11:01:20 PM     all     31.12      0.00     20.31      0.26      0.00     48.31
11:01:21 PM     all     31.73      0.00     20.03      0.13      0.00     48.11
11:01:22 PM     all     31.96      0.00     18.87      0.00      0.00     49.17
11:01:23 PM     all     32.35      0.00     19.18      0.13      0.00     48.34
11:01:24 PM     all     30.60      0.00     19.53      0.13      0.00     49.74
11:01:25 PM     all     32.65      0.00     18.45      0.26      0.00     48.65
11:01:26 PM     all     30.47      0.00     18.47      0.00      0.00     51.06
11:01:27 PM     all     31.83      0.00     19.33      0.00      0.00     48.84
11:01:28 PM     all     31.42      0.00     19.71      0.40      0.00     48.47
11:01:29 PM     all     32.86      0.00     20.36      0.00      0.00     46.78
11:01:30 PM     all     32.52      0.00     19.67      0.00      0.00     47.81
11:01:31 PM     all     31.74      0.00     19.26      0.13      0.00     48.87
11:01:32 PM     all     32.90      0.00     22.02      0.00      0.00     45.09
11:01:33 PM     all     32.68      0.00     20.13      0.13      0.00     47.06
11:01:34 PM     all     33.16      0.00     18.38      0.13      0.00     48.33
11:01:35 PM     all     30.83      0.00     18.84      0.00      0.00     50.33
11:01:36 PM     all     32.58      0.00     20.48      0.13      0.00     46.81
11:01:37 PM     all     31.66      0.00     21.06      0.00      0.00     47.28
11:01:38 PM     all     33.07      0.00     20.08      0.13      0.00     46.72
11:01:39 PM     all     31.03      0.00     19.43      0.00      0.00     49.54
11:01:40 PM     all     33.99      0.00     20.08      0.00      0.00     45.93
11:01:41 PM     all     29.70      0.00     18.55      0.13      0.00     51.62
11:01:42 PM     all     31.75      0.00     20.11      0.13      0.00     48.02
11:01:43 PM     all     32.81      0.00     19.74      0.13      0.00     47.32
11:01:44 PM     all     33.03      0.00     20.50      0.13      0.00     46.34
11:01:45 PM     all     29.41      0.00     20.00      0.13      0.00     50.46
11:01:46 PM     all     34.27      0.00     18.36      0.00      0.00     47.37
11:01:47 PM     all     31.04      0.00     18.83      0.13      0.00     50.00
11:01:48 PM     all     32.87      0.00     18.91      0.00      0.00     48.22
11:01:49 PM     all     32.72      0.00     20.58      0.13      0.00     46.57
11:01:50 PM     all     30.24      0.00     19.50      0.00      0.00     50.27
11:01:51 PM     all     33.21      0.00     17.69      0.00      0.00     49.10
11:01:52 PM     all     31.40      0.00     19.77      0.00      0.00     48.84
11:01:53 PM     all     31.14      0.00     20.03      0.26      0.00     48.58
11:01:54 PM     all     32.47      0.00     19.20      0.13      0.00     48.20
11:01:55 PM     all     32.25      0.00     20.60      0.00      0.00     47.15
11:01:56 PM     all     31.49      0.00     20.18      0.26      0.00     48.07
11:01:57 PM     all     34.01      0.00     20.35      0.00      0.00     45.64
11:01:58 PM     all     29.16      0.00     18.21      0.26      0.00     52.37
11:01:59 PM     all     34.71      0.00     19.85      0.00      0.00     45.44
11:02:00 PM     all     32.65      0.00     20.18      0.13      0.00     47.04
11:02:01 PM     all     33.84      0.00     20.03      0.00      0.00     46.13
11:02:02 PM     all     32.40      0.00     21.07      0.00      0.00     46.53
11:02:03 PM     all     31.22      0.00     20.50      0.13      0.00     48.15
11:02:04 PM     all     32.99      0.00     21.12      0.00      0.00     45.89
11:02:05 PM     all     30.42      0.00     19.84      0.13      0.00     49.61
11:02:06 PM     all     32.74      0.00     18.54      0.00      0.00     48.72
11:02:07 PM     all     32.03      0.00     18.95      0.13      0.00     48.89
11:02:08 PM     all     34.58      0.00     20.69      0.26      0.00     44.47
11:02:09 PM     all     32.30      0.00     20.41      0.13      0.00     47.16
11:02:10 PM     all     32.98      0.00     19.37      0.13      0.00     47.51
11:02:11 PM     all     31.19      0.00     20.45      0.00      0.00     48.36
11:02:12 PM     all     33.07      0.00     19.97      0.13      0.00     46.83
11:02:13 PM     all     32.23      0.00     20.34      0.00      0.00     47.42
11:02:14 PM     all     32.57      0.00     18.88      0.13      0.00     48.42
11:02:15 PM     all     31.60      0.00     19.51      0.00      0.00     48.89
11:02:16 PM     all     33.93      0.00     20.79      0.13      0.00     45.15
11:02:17 PM     all     35.13      0.00     21.18      0.13      0.00     43.55
11:02:18 PM     all     31.59      0.00     20.31      0.13      0.00     47.97
11:02:19 PM     all     33.42      0.00     20.03      0.13      0.00     46.43
11:02:20 PM     all     31.47      0.00     20.53      0.13      0.00     47.87
11:02:21 PM     all     34.43      0.00     21.29      0.00      0.00     44.28
11:02:22 PM     all     32.12      0.00     19.56      0.00      0.00     48.32
11:02:23 PM     all     32.94      0.00     19.29      0.00      0.00     47.77
11:02:24 PM     all     32.64      0.00     18.99      0.13      0.00     48.24
11:02:25 PM     all     32.64      0.00     19.17      0.00      0.00     48.19
11:02:26 PM     all     31.16      0.00     19.56      0.13      0.00     49.15
11:02:27 PM     all     32.52      0.00     19.21      0.00      0.00     48.27
11:02:28 PM     all     31.79      0.00     19.74      0.13      0.00     48.33
11:02:29 PM     all     32.56      0.00     18.46      0.13      0.00     48.85
11:02:30 PM     all     29.40      0.00     18.94      0.13      0.00     51.52
11:02:31 PM     all     32.72      0.00     21.02      0.00      0.00     46.25
11:02:32 PM     all     34.06      0.00     19.10      0.13      0.00     46.71
11:02:33 PM     all     32.09      0.00     20.36      0.13      0.00     47.42
11:02:34 PM     all     31.70      0.00     19.33      0.00      0.00     48.97
11:02:35 PM     all     33.21      0.00     18.21      0.00      0.00     48.59
11:02:36 PM     all     31.48      0.00     18.78      0.13      0.00     49.61
11:02:37 PM     all     31.71      0.00     20.54      0.13      0.00     47.63
11:02:38 PM     all     32.48      0.00     18.49      0.13      0.00     48.91
11:02:39 PM     all     33.42      0.00     21.15      0.00      0.00     45.43
11:02:40 PM     all     33.68      0.00     21.03      0.00      0.00     45.29
11:02:41 PM     all     31.08      0.00     19.38      0.00      0.00     49.54
11:02:42 PM     all     34.49      0.00     19.56      0.00      0.00     45.95
11:02:43 PM     all     30.98      0.00     22.34      0.00      0.00     46.68
11:02:44 PM     all     33.46      0.00     21.06      0.26      0.00     45.22
11:02:45 PM     all     32.68      0.00     18.69      0.13      0.00     48.50
11:02:46 PM     all     34.17      0.00     20.11      0.13      0.00     45.60
11:02:47 PM     all     30.70      0.00     20.03      0.13      0.00     49.14
11:02:48 PM     all     33.72      0.00     18.55      0.00      0.00     47.73
11:02:49 PM     all     33.17      0.00     19.45      0.12      0.00     47.26
11:02:50 PM     all     33.12      0.00     20.08      0.00      0.00     46.80
