Linux 6.8.0-111-generic (intel-nuc) 	05/18/2026 	_x86_64_	(8 CPU)

10:51:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:51:38 PM     all     23.74      0.00     13.62      0.39      0.00     62.26
10:51:39 PM     all     17.04      0.00     11.27      0.13      0.00     71.56
10:51:40 PM     all     21.16      0.00     13.16      0.26      0.00     65.42
10:51:41 PM     all     17.22      0.00     11.13      0.00      0.00     71.66
10:51:42 PM     all     19.50      0.00     12.04      0.00      0.00     68.46
10:51:43 PM     all     18.28      0.00     11.92      0.13      0.00     69.67
10:51:44 PM     all     18.88      0.00     12.37      0.39      0.00     68.36
10:51:45 PM     all     18.97      0.00     11.03      0.13      0.00     69.87
10:51:46 PM     all     15.82      0.00     11.66      0.00      0.00     72.52
10:51:47 PM     all     17.96      0.00     11.26      0.00      0.00     70.78
10:51:48 PM     all     17.66      0.00     12.21      0.26      0.00     69.87
10:51:49 PM     all     17.29      0.00     11.84      0.13      0.00     70.74
10:51:50 PM     all     16.69      0.00     12.13      0.13      0.00     71.06
10:51:51 PM     all     22.35      0.00     13.44      0.13      0.00     64.08
10:51:52 PM     all     16.03      0.00     11.13      0.13      0.00     72.72
10:51:53 PM     all     19.66      0.00     11.72      0.26      0.00     68.36
10:51:54 PM     all     18.07      0.00     10.55      0.13      0.00     71.24
10:51:55 PM     all     21.39      0.00     14.56      0.13      0.00     63.92
10:51:56 PM     all     18.31      0.00     13.90      0.13      0.00     67.66
10:51:57 PM     all     18.27      0.00     11.43      0.00      0.00     70.30
10:51:58 PM     all     19.27      0.00     12.45      0.13      0.00     68.15
10:51:59 PM     all     21.32      0.00     13.57      0.13      0.00     64.99
10:52:00 PM     all     15.94      0.00     12.08      0.00      0.00     71.98
10:52:01 PM     all     19.66      0.00     10.88      0.39      0.00     69.07
10:52:02 PM     all     20.92      0.00     12.45      0.13      0.00     66.50
10:52:03 PM     all     18.09      0.00     12.98      0.13      0.00     68.81
10:52:04 PM     all     19.80      0.00     12.77      0.00      0.00     67.43
10:52:05 PM     all     19.15      0.00     12.85      0.00      0.00     67.99
10:52:06 PM     all     20.10      0.00     10.89      0.00      0.00     69.00
10:52:07 PM     all     20.34      0.00     13.82      0.39      0.00     65.45
10:52:08 PM     all     21.61      0.00     14.58      0.00      0.00     63.81
10:52:09 PM     all     19.90      0.00     12.84      0.13      0.00     67.14
10:52:10 PM     all     20.26      0.00     11.32      0.13      0.00     68.29
10:52:11 PM     all     19.16      0.00     11.55      0.00      0.00     69.29
10:52:12 PM     all     19.03      0.00     11.68      0.26      0.00     69.03
10:52:13 PM     all     22.11      0.00     11.94      0.13      0.00     65.82
10:52:14 PM     all     23.26      0.00     15.17      0.00      0.00     61.57
