platform,run_key,run_label,elapsed_sec,cpu_active_percent,cpu_user_percent,cpu_system_percent,cpu_iowait_percent,source_file
nuc,v1,Version 1,0.0,31.340,18.330,12.480,0.530,nuc_v1_total_cpu.txt
nuc,v1,Version 1,1.0,36.110,23.080,12.520,0.520,nuc_v1_total_cpu.txt
nuc,v1,Version 1,2.0,32.770,20.030,12.220,0.520,nuc_v1_total_cpu.txt
nuc,v1,Version 1,3.0,33.730,20.130,12.810,0.780,nuc_v1_total_cpu.txt
nuc,v1,Version 1,4.0,34.300,20.760,13.140,0.390,nuc_v1_total_cpu.txt
nuc,v1,Version 1,5.0,37.370,22.420,14.430,0.520,nuc_v1_total_cpu.txt
nuc,v1,Version 1,6.0,33.460,19.490,13.210,0.770,nuc_v1_total_cpu.txt
nuc,v1,Version 1,7.0,33.900,20.600,13.170,0.130,nuc_v1_total_cpu.txt
nuc,v1,Version 1,8.0,31.350,18.320,12.520,0.520,nuc_v1_total_cpu.txt
nuc,v1,Version 1,9.0,32.020,19.160,12.340,0.520,nuc_v1_total_cpu.txt
nuc,v1,Version 1,10.0,32.300,18.680,12.840,0.780,nuc_v1_total_cpu.txt
nuc,v1,Version 1,11.0,30.660,18.160,12.240,0.260,nuc_v1_total_cpu.txt
nuc,v1,Version 1,12.0,32.590,20.240,11.700,0.660,nuc_v1_total_cpu.txt
nuc,v1,Version 1,13.0,31.680,19.110,12.300,0.260,nuc_v1_total_cpu.txt
nuc,v1,Version 1,14.0,34.130,21.740,11.760,0.630,nuc_v1_total_cpu.txt
nuc,v1,Version 1,15.0,31.590,19.190,11.880,0.520,nuc_v1_total_cpu.txt
nuc,v1,Version 1,16.0,36.340,21.750,14.190,0.400,nuc_v1_total_cpu.txt
nuc,v1,Version 1,17.0,32.860,19.560,12.650,0.650,nuc_v1_total_cpu.txt
nuc,v1,Version 1,18.0,33.680,21.110,12.180,0.390,nuc_v1_total_cpu.txt
nuc,v1,Version 1,19.0,33.120,19.020,13.580,0.520,nuc_v1_total_cpu.txt
nuc,v1,Version 1,20.0,33.850,21.010,12.190,0.650,nuc_v1_total_cpu.txt
nuc,v1,Version 1,21.0,33.850,21.670,11.670,0.510,nuc_v1_total_cpu.txt
nuc,v1,Version 1,22.0,35.160,22.290,12.480,0.380,nuc_v1_total_cpu.txt
nuc,v1,Version 1,23.0,31.120,18.620,11.850,0.650,nuc_v1_total_cpu.txt
nuc,v1,Version 1,24.0,31.780,19.280,11.970,0.530,nuc_v1_total_cpu.txt
nuc,v1,Version 1,25.0,31.400,18.870,12.140,0.400,nuc_v1_total_cpu.txt
nuc,v1,Version 1,26.0,36.030,21.850,13.510,0.660,nuc_v1_total_cpu.txt
nuc,v1,Version 1,27.0,33.250,19.340,13.250,0.660,nuc_v1_total_cpu.txt
nuc,v1,Version 1,28.0,35.540,22.830,12.320,0.390,nuc_v1_total_cpu.txt
nuc,v1,Version 1,29.0,33.910,20.400,13.380,0.130,nuc_v1_total_cpu.txt
nuc,v1,Version 1,30.0,30.150,18.060,11.950,0.130,nuc_v1_total_cpu.txt
nuc,v1,Version 1,31.0,30.530,17.870,12.270,0.400,nuc_v1_total_cpu.txt
nuc,v1,Version 1,32.0,33.110,19.810,13.300,0.000,nuc_v1_total_cpu.txt
nuc,v1,Version 1,33.0,34.510,20.830,13.540,0.130,nuc_v1_total_cpu.txt
nuc,v1,Version 1,34.0,34.060,20.740,12.930,0.380,nuc_v1_total_cpu.txt
nuc,v1,Version 1,35.0,32.600,20.440,11.900,0.260,nuc_v1_total_cpu.txt
nuc,v1,Version 1,36.0,31.250,19.790,11.330,0.130,nuc_v1_total_cpu.txt
nuc,v1,Version 1,37.0,31.940,19.500,12.040,0.390,nuc_v1_total_cpu.txt
nuc,v1,Version 1,38.0,32.130,20.180,11.700,0.260,nuc_v1_total_cpu.txt
nuc,v1,Version 1,39.0,32.950,20.280,12.530,0.130,nuc_v1_total_cpu.txt
nuc,v1,Version 1,40.0,31.120,18.880,12.240,0.000,nuc_v1_total_cpu.txt
nuc,v1,Version 1,41.0,34.770,20.180,14.190,0.390,nuc_v1_total_cpu.txt
nuc,v1,Version 1,42.0,30.680,18.800,11.620,0.260,nuc_v1_total_cpu.txt
nuc,v1,Version 1,43.0,33.630,21.700,11.800,0.130,nuc_v1_total_cpu.txt
nuc,v1,Version 1,44.0,36.450,21.660,14.530,0.260,nuc_v1_total_cpu.txt
nuc,v1,Version 1,45.0,34.680,20.560,13.980,0.130,nuc_v1_total_cpu.txt
nuc,v1,Version 1,46.0,35.850,21.380,14.080,0.390,nuc_v1_total_cpu.txt
nuc,v1,Version 1,47.0,31.170,18.960,12.080,0.130,nuc_v1_total_cpu.txt
nuc,v1,Version 1,48.0,36.610,22.830,13.650,0.130,nuc_v1_total_cpu.txt
nuc,v1,Version 1,49.0,32.770,19.790,12.980,0.000,nuc_v1_total_cpu.txt
