platform,run_key,run_label,elapsed_sec,cpu_active_percent,cpu_user_percent,cpu_system_percent,cpu_iowait_percent,source_file
nuc,v2,Version 2,287.0,31.910,19.890,12.020,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,288.0,33.070,20.470,12.600,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,289.0,35.730,21.730,14.010,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,290.0,32.090,19.970,11.980,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,291.0,31.900,20.830,11.070,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,292.0,28.340,18.410,9.930,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,293.0,32.640,20.500,12.140,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,294.0,29.810,18.320,11.360,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,295.0,33.980,21.450,12.270,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,296.0,32.260,19.810,12.320,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,297.0,35.700,22.570,13.120,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,298.0,33.640,20.480,12.900,0.270,nuc_v2_total_cpu.txt
nuc,v2,Version 2,299.0,34.630,23.090,11.540,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,300.0,33.160,21.150,12.010,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,301.0,31.030,19.100,11.940,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,302.0,30.310,18.290,12.020,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,303.0,34.240,21.530,12.450,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,304.0,31.540,20.160,11.390,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,305.0,35.960,22.250,13.580,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,306.0,34.400,20.480,13.650,0.270,nuc_v2_total_cpu.txt
nuc,v2,Version 2,307.0,38.740,23.950,14.660,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,308.0,32.570,20.910,11.660,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,309.0,33.560,20.910,12.650,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,310.0,35.450,21.430,14.030,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,311.0,31.320,19.400,11.930,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,312.0,33.590,21.050,12.550,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,313.0,32.550,20.830,11.590,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,314.0,33.460,21.090,12.370,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,315.0,30.980,19.350,11.630,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,316.0,33.460,21.830,11.500,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,317.0,28.650,17.940,10.710,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,318.0,33.020,20.950,11.940,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,319.0,32.070,20.290,11.780,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,320.0,34.780,21.340,13.440,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,321.0,33.330,20.310,12.890,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,322.0,32.100,21.140,10.830,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,323.0,32.410,19.820,12.470,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,324.0,31.830,20.160,11.670,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,325.0,31.840,19.680,12.020,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,326.0,30.660,19.210,11.320,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,327.0,31.610,20.050,11.420,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,328.0,32.810,20.390,12.290,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,329.0,33.160,20.640,12.250,0.270,nuc_v2_total_cpu.txt
nuc,v2,Version 2,330.0,31.230,19.160,12.070,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,331.0,30.610,19.790,10.830,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,332.0,30.240,18.300,11.940,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,333.0,33.990,22.400,11.590,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,334.0,32.290,18.950,13.200,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,335.0,30.700,19.500,11.200,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,336.0,31.570,19.950,11.620,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,337.0,35.240,24.050,11.070,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,338.0,31.120,19.680,11.440,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,339.0,31.230,20.290,10.800,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,340.0,31.110,20.000,10.980,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,341.0,35.780,23.640,12.140,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,342.0,34.170,21.990,12.190,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,343.0,33.250,20.790,12.190,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,344.0,35.680,22.890,12.660,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,345.0,31.240,18.960,12.280,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,346.0,32.260,20.560,11.690,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,347.0,32.850,19.680,13.030,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,348.0,35.550,22.640,12.920,0.000,nuc_v2_total_cpu.txt
