platform,run_key,run_label,elapsed_sec,cpu_active_percent,cpu_user_percent,cpu_system_percent,cpu_iowait_percent,source_file
nuc,v3,Version 3,0.0,56.080,34.390,21.300,0.400,nuc_v3_total_cpu.txt
nuc,v3,Version 3,1.0,51.680,32.090,19.590,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,2.0,49.740,30.130,19.470,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,3.0,53.280,33.330,19.950,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,4.0,50.710,30.840,19.740,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,5.0,51.480,33.030,18.450,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,6.0,52.780,32.730,19.790,0.260,nuc_v3_total_cpu.txt
nuc,v3,Version 3,7.0,52.100,32.810,19.160,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,8.0,55.670,34.020,21.520,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,9.0,52.390,31.910,20.350,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,10.0,49.600,30.290,19.180,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,11.0,52.320,32.800,19.390,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,12.0,50.460,31.010,19.320,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,13.0,52.320,32.140,20.050,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,14.0,53.250,31.950,21.300,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,15.0,51.600,32.480,19.000,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,16.0,51.840,32.190,19.520,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,17.0,50.820,31.780,18.920,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,18.0,52.010,32.300,19.710,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,19.0,51.940,32.040,19.640,0.260,nuc_v3_total_cpu.txt
nuc,v3,Version 3,20.0,51.690,32.030,19.660,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,21.0,48.920,31.000,17.920,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,22.0,51.000,30.570,20.430,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,23.0,51.600,31.470,20.000,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,24.0,54.760,34.680,20.080,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,25.0,51.280,32.270,19.010,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,26.0,48.420,30.520,17.650,0.250,nuc_v3_total_cpu.txt
nuc,v3,Version 3,27.0,48.940,29.950,19.000,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,28.0,49.610,29.240,20.370,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,29.0,49.390,30.090,19.160,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,30.0,53.000,32.900,19.710,0.390,nuc_v3_total_cpu.txt
nuc,v3,Version 3,31.0,50.860,31.230,19.630,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,32.0,53.660,33.380,20.150,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,33.0,51.940,32.510,19.430,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,34.0,51.460,30.690,20.770,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,35.0,52.790,32.940,19.710,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,36.0,50.580,31.260,19.330,0.000,nuc_v3_total_cpu.txt
nuc,v3,Version 3,37.0,54.860,33.860,20.870,0.130,nuc_v3_total_cpu.txt
nuc,v3,Version 3,38.0,53.980,33.380,20.340,0.260,nuc_v3_total_cpu.txt
