platform,run_key,run_label,elapsed_sec,cpu_active_percent,cpu_user_percent,cpu_system_percent,cpu_iowait_percent,source_file
pi5,mapping,Point-LIO Mapping + Camera,233.0,26.990,22.110,4.880,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,234.0,8.270,6.770,1.500,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,235.0,23.750,19.000,4.750,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,236.0,37.370,26.770,6.310,4.290,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,237.0,19.540,15.740,3.810,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,238.0,7.360,5.330,2.030,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,239.0,31.770,23.400,8.370,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,240.0,39.350,32.330,7.020,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,241.0,12.990,5.640,5.880,1.470,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,242.0,24.940,16.540,8.400,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,243.0,32.910,25.770,7.140,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,244.0,11.650,8.100,3.290,0.250,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,245.0,15.940,12.080,3.860,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,246.0,25.000,18.620,6.380,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,247.0,33.160,27.810,5.360,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,248.0,7.110,5.330,1.780,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,249.0,13.520,9.440,4.080,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,250.0,44.760,36.830,7.930,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,251.0,14.540,10.200,1.530,2.810,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,252.0,17.930,14.390,3.540,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,253.0,26.010,19.700,6.310,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,254.0,24.310,20.550,3.760,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,255.0,18.550,13.780,4.510,0.250,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,256.0,14.290,9.770,4.510,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,257.0,45.980,37.440,7.790,0.750,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,258.0,13.350,10.830,2.520,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,259.0,9.770,7.520,2.260,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,260.0,39.410,28.820,10.590,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,261.0,27.940,19.610,8.330,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,262.0,17.140,12.790,4.350,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,263.0,12.470,8.140,4.330,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,264.0,32.650,25.710,6.940,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,265.0,22.620,17.480,5.140,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,266.0,7.160,4.350,2.810,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,267.0,38.210,30.260,7.950,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,268.0,25.260,21.170,4.080,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,269.0,7.220,5.150,2.060,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,270.0,22.510,18.160,4.350,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,271.0,33.420,26.080,7.340,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,272.0,20.650,16.880,3.780,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,273.0,7.810,6.050,1.760,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,274.0,26.380,20.600,5.780,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,275.0,38.190,31.910,6.030,0.250,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,276.0,8.520,6.270,2.260,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,277.0,24.620,18.590,6.030,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,278.0,34.670,27.640,7.040,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,279.0,14.140,10.420,3.720,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,280.0,23.060,14.810,8.250,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,281.0,25.710,18.250,7.460,0.000,pi5_mapping_total_cpu.txt
