platform,comparison,run_key,run_label,avg_cpu_percent,peak_cpu_percent,min_cpu_percent,duration_sec,sample_count,source_file
pi5,v2_vs_v3,v2,Version 2,20.375,52.020,4.880,322.0,323,pi5_ v2_ total_cpu.txt
pi5,v2_vs_v3,v3,Version 3,21.558,52.430,6.200,322.0,323,pi5_v3_ total_cpu.txt
