platform,run_key,run_label,elapsed_sec,cpu_active_percent,cpu_user_percent,cpu_system_percent,cpu_iowait_percent,source_file
pi5,v1,Version 1,0.0,9.640,4.570,5.080,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,1.0,22.220,15.400,6.820,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,2.0,30.810,22.470,8.330,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,3.0,15.870,9.320,6.550,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,4.0,8.420,4.080,4.340,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,5.0,33.840,25.510,8.330,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,6.0,19.850,14.250,5.600,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,7.0,6.630,1.790,4.850,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,8.0,32.820,23.160,9.670,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,9.0,24.620,18.720,5.900,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,10.0,7.950,3.590,4.360,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,11.0,15.480,9.900,5.580,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,12.0,30.710,22.590,8.120,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,13.0,22.370,13.880,5.140,3.340,pi5_v1_total_cpu.txt
pi5,v1,Version 1,14.0,6.940,2.060,3.340,1.540,pi5_v1_total_cpu.txt
pi5,v1,Version 1,15.0,23.720,16.070,7.650,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,16.0,35.430,27.640,7.790,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,17.0,10.230,5.630,4.350,0.260,pi5_v1_total_cpu.txt
pi5,v1,Version 1,18.0,22.170,14.610,7.560,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,19.0,34.670,23.870,8.040,2.760,pi5_v1_total_cpu.txt
pi5,v1,Version 1,20.0,9.550,4.520,5.030,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,21.0,15.370,9.320,6.050,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,22.0,27.590,18.990,8.610,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,23.0,27.710,19.900,7.810,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,24.0,6.380,2.040,3.830,0.510,pi5_v1_total_cpu.txt
pi5,v1,Version 1,25.0,17.220,10.130,7.090,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,26.0,40.250,31.140,9.110,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,27.0,6.630,2.300,4.340,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,28.0,15.520,10.430,5.090,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,29.0,27.250,18.510,8.480,0.260,pi5_v1_total_cpu.txt
pi5,v1,Version 1,30.0,21.880,13.490,5.600,2.800,pi5_v1_total_cpu.txt
pi5,v1,Version 1,31.0,13.590,8.970,4.620,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,32.0,15.380,8.970,6.410,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,33.0,42.090,32.910,9.180,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,34.0,7.140,3.060,3.570,0.510,pi5_v1_total_cpu.txt
pi5,v1,Version 1,35.0,10.150,5.080,4.570,0.510,pi5_v1_total_cpu.txt
pi5,v1,Version 1,36.0,36.430,27.140,9.300,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,37.0,19.200,13.470,5.740,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,38.0,16.880,11.590,5.290,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,39.0,16.410,9.850,6.570,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,40.0,35.350,25.760,9.600,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,41.0,14.610,9.820,4.790,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,42.0,8.100,3.040,5.060,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,43.0,38.460,29.230,9.230,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,44.0,19.130,14.030,5.100,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,45.0,9.210,4.090,4.860,0.260,pi5_v1_total_cpu.txt
pi5,v1,Version 1,46.0,24.360,14.870,7.180,2.310,pi5_v1_total_cpu.txt
pi5,v1,Version 1,47.0,29.120,21.650,7.470,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,48.0,14.430,10.050,4.380,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,49.0,7.970,3.600,4.370,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,50.0,34.180,25.260,8.930,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,51.0,22.310,15.380,5.640,1.280,pi5_v1_total_cpu.txt
pi5,v1,Version 1,52.0,6.190,2.840,3.350,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,53.0,32.320,23.660,8.650,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,54.0,25.250,18.940,6.310,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,55.0,10.580,4.790,5.040,0.760,pi5_v1_total_cpu.txt
pi5,v1,Version 1,56.0,16.410,10.350,6.060,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,57.0,34.410,24.940,9.480,0.000,pi5_v1_total_cpu.txt
pi5,v1,Version 1,58.0,20.910,14.860,6.050,0.000,pi5_v1_total_cpu.txt
